,Player,Match_played,Starts,Minutes_played,goals,assist,Shots,shots_on_target,non_penalty_goals,penalty_goal,yellow_card,red_card,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team
83,Abdelhamid Sabiri,5,2,181,0,1,3,0,0,0,1,0,45.0,58.0,77.6,3.0,1,3.0,5,3.0,86.0,0.0,3.0,0.0,2,3,0,1,0.0,0.0,0,2.0,2.0,MF,25,Italy,Sampdoria,Morocco
84,Munir,1,1,90,0,0,0,0,0,0,0,0,19.0,28.0,67.9,0.0,0,0.0,0,0.0,31.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,GK,33,Saudi Arabia,AlWehda,Morocco
85,Bilal El Khannous,1,1,55,0,0,0,0,0,0,0,0,20.0,24.0,83.3,0.0,0,1.0,0,2.0,29.0,0.0,1.0,0.0,0,1,0,0,0.0,0.0,0,0.0,1.0,MF,18,Belgium,Genk,Morocco
86,Abdessamad Ezzalzouli,3,0,93,0,0,1,0,0,0,0,0,10.0,13.0,76.9,3.0,2,4.0,0,3.0,40.0,1.0,2.0,50.0,4,0,0,1,0.0,0.0,0,1.0,2.0,FWMF,20,Spain,Osasuna,Morocco
87,Zakaria Aboukhlal,4,0,79,1,0,3,2,1,0,0,0,7.0,14.0,50.0,1.0,1,2.0,1,1.0,26.0,0.0,1.0,0.0,1,0,2,1,0.0,0.0,0,2.0,0.0,FWMF,22,France,Toulouse,Morocco
88,Abderrazak Hamdallah,4,0,68,0,0,2,1,0,0,0,0,8.0,15.0,53.3,0.0,0,0.0,0,2.0,27.0,2.0,3.0,66.7,3,2,0,0,0.0,0.0,0,1.0,7.0,FW,31,Saudi Arabia,AlIttihad,Morocco
89,Walid Cheddira,2,0,64,0,0,2,1,0,0,2,1,4.0,8.0,50.0,1.0,0,0.0,0,2.0,19.0,0.0,1.0,0.0,5,0,2,0,0.0,0.0,0,2.0,2.0,FW,24,Italy,Bari,Morocco
90,Badr Banoun,3,0,54,0,0,0,0,0,0,0,0,21.0,22.0,95.5,0.0,0,1.0,1,3.0,28.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0,0.0,1.0,DF,28,Qatar,Qatar SC,Morocco
91,Ilias Chair,1,0,45,0,0,0,0,0,0,0,0,13.0,15.0,86.7,1.0,0,0.0,0,0.0,18.0,0.0,1.0,0.0,0,0,0,2,0.0,0.0,0,0.0,0.0,MF,24,England,QPR,Morocco
92,Anass Zaroury,1,0,27,0,0,0,0,0,0,0,0,8.0,13.0,61.5,0.0,0,2.0,0,0.0,15.0,1.0,1.0,100.0,0,0,1,3,0.0,0.0,0,0.0,0.0,FW,21,England,Burnley,Morocco
93,Yahya Jabrane,2,0,15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,MF,30,Morocco,Wydad Casablanca,Morocco
94,Andries Noppert,5,5,480,0,0,0,0,0,0,0,0,157.0,192.0,81.8,0.0,0,0.0,0,4.0,206.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,28,Netherlands,Heerenveen,Netherlands
95,Virgil Van Dijk,5,5,480,0,0,3,0,0,0,0,0,311.0,356.0,87.4,2.0,1,8.0,4,21.0,399.0,0.0,0.0,0.0,5,2,0,0,0.0,0.0,0,13.0,8.0,DF,30,England,Liverpool,Netherlands
96,Nathan Ake,5,5,479,0,0,0,0,0,0,1,0,315.0,349.0,90.3,6.0,3,3.0,8,20.0,393.0,0.0,2.0,0.0,4,6,0,0,0.0,0.0,0,10.0,12.0,DF,27,England,Manchester City,Netherlands
97,Denzel Dumfries,5,5,479,1,2,1,1,1,0,2,1,149.0,217.0,68.7,8.0,5,5.0,7,6.0,281.0,0.0,8.0,0.0,17,7,2,8,0.0,1.0,0,9.0,10.0,DF,26,Italy,Inter,Netherlands
98,Frenkie de Jong,5,5,475,1,1,2,1,1,0,1,0,323.0,364.0,88.7,12.0,5,6.0,6,3.0,412.0,3.0,6.0,50.0,4,6,0,3,0.0,0.0,0,8.0,1.0,MF,25,Spain,Barcelona,Netherlands
99,Cody Gakpo,5,5,450,3,0,5,3,3,0,0,0,93.0,148.0,62.8,8.0,2,10.0,3,6.0,212.0,5.0,13.0,38.5,8,5,3,33,0.0,0.0,0,5.0,5.0,FWMF,23,Netherlands,PSV Eindhoven,Netherlands
100,Daley Blind,5,5,423,1,1,5,2,1,0,0,0,252.0,300.0,84.0,14.0,9,6.0,5,4.0,341.0,1.0,2.0,50.0,3,1,0,6,0.0,0.0,0,5.0,7.0,DF,32,Netherlands,Ajax,Netherlands
101,Jurrian Timber,4,4,390,0,0,0,0,0,0,1,0,283.0,313.0,90.4,12.0,6,1.0,10,13.0,360.0,4.0,6.0,66.7,17,4,0,1,0.0,0.0,0,4.0,3.0,DF,20,Netherlands,Ajax,Netherlands
102,Memphis,5,3,297,1,0,10,5,1,0,1,0,93.0,123.0,75.6,1.0,1,4.0,1,0.0,167.0,2.0,11.0,18.2,1,5,1,2,0.0,0.0,0,2.0,6.0,FW,28,Spain,Barcelona,Netherlands
103,Steven Bergwijn,4,3,213,0,0,2,0,0,0,1,0,64.0,72.0,88.9,1.0,1,2.0,0,0.0,86.0,1.0,4.0,25.0,2,4,0,0,0.0,0.0,0,0.0,0.0,FW,24,Netherlands,Ajax,Netherlands
104,Davy Klaassen,4,3,190,1,2,2,1,1,0,0,0,59.0,77.0,76.6,3.0,2,2.0,1,2.0,96.0,0.0,1.0,0.0,1,3,0,2,0.0,0.0,0,2.0,2.0,MFFW,29,Netherlands,Ajax,Netherlands
105,Marten de Roon,5,3,184,0,0,0,0,0,0,0,0,97.0,119.0,81.5,7.0,5,4.0,2,6.0,143.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0,4.0,3.0,MF,31,Italy,Atalanta,Netherlands
106,Teun Koopmeiners,5,1,219,0,1,2,1,0,0,1,0,90.0,119.0,75.6,10.0,5,2.0,4,4.0,147.0,1.0,2.0,50.0,6,1,0,2,0.0,0.0,0,4.0,3.0,MF,24,Italy,Atalanta,Netherlands
107,Steven Berghuis,4,1,200,0,1,5,0,0,0,1,0,97.0,131.0,74.0,2.0,1,1.0,0,0.0,145.0,1.0,4.0,25.0,4,0,0,13,0.0,0.0,0,1.0,2.0,MF,30,Netherlands,Ajax,Netherlands
108,Matthijs de Ligt,2,1,91,0,0,0,0,0,0,1,0,41.0,45.0,91.1,0.0,0,0.0,0,4.0,49.0,0.0,0.0,0.0,4,1,0,0,0.0,0.0,0,5.0,2.0,DF,22,Germany,Bayern Munich,Netherlands
109,Vincent Janssen,2,1,86,0,0,2,0,0,0,0,0,16.0,20.0,80.0,2.0,0,2.0,0,1.0,32.0,1.0,1.0,100.0,2,2,0,0,0.0,0.0,0,1.0,1.0,FW,27,Belgium,Antwerp,Netherlands
